trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-162.21751004958128,"{0: 10, 1: 6, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,6,-22.681611147051356,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-67.13392033247845,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-64.70683902613695,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-73.25697701817161,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,7,-41.18579398297713,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.4965853037914095}",20,0,-44.09390728643522,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,10,-70.46430149963817,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-63.68205224073981,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,15,-24.015951853548618,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,13,-59.868838623024224,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.3011942119122021}",25,1,-47.97381420017426,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,21,0.3530147454715469,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.24659696394160646}",35,12,8.051782699055426,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.22313016014842985}",25,0,21.181315242764125,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.2018965179946554}",30,0,12.131328222178556,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.18268352405273464}",20,8,3.0455738710350477,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.16529888822158656}",20,0,15.56591059891621,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,15,-3.1810452370186972,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,10,-2.069859257423306,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.12245642825298192}",25,14,-13.650232712244106,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,1,11.301370798074185,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.10025884372280372}",25,15,12.000313316903828,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.09071795328941248}",30,16,18.70505905349552,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
